Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,171.52814,152.46404,174.27663,175.16042,174.77884
1,171.48468,152.10078,174.17058,174.958,175.23756
2,171.35713,151.90637,174.27315,174.81215,175.28477
3,171.21373,150.72163,174.5964,174.00232,175.90729
4,171.10405,150.71468,174.47585,173.66005,175.80614
5,170.83878,150.83908,174.65462,173.34769,176.43057
6,170.30745,149.95682,174.77234,172.0818,177.63992
7,169.77629,149.15868,174.77974,171.08723,178.20998
8,168.88248,148.982,174.53987,170.93184,179.315
9,167.88109,148.6243,174.526,169.99155,179.7561
10,166.63809,148.23637,174.46397,169.33463,179.2159
11,164.93546,147.6111,174.32791,168.66739,178.67145
12,163.0401,146.42635,173.67157,168.1112,178.42827
13,161.2393,145.75256,173.13222,167.38608,178.11955
14,159.30647,145.07289,171.81844,166.29501,178.36458
15,157.37906,144.4197,169.03572,164.37566,178.76045
16,155.53407,144.5217,164.79036,161.55882,179.25087
17,153.32986,144.18169,158.78706,157.66403,179.22041
18,150.66437,143.05551,151.46877,152.16734,178.719
19,147.25943,140.73154,142.8925,145.30997,178.23897
20,143.19351,136.45955,133.789,137.52489,177.789
21,137.21207,130.83403,123.71208,129.33025,177.6514
22,129.87163,124.97707,113.48627,121.34129,177.51328
23,122.499084,119.50937,105.23289,114.33412,177.11465
24,115.40208,114.17588,98.339294,107.62617,176.6624
25,108.40035,108.260086,92.35213,100.2696,177.3232
26,101.73877,101.8537,87.21954,92.15389,178.33868
27,94.93102,95.33162,82.46186,84.310005,178.82697
28,88.91929,88.726234,78.40773,76.95594,178.43427
29,86.14485,83.28239,76.47095,70.6752,177.99202
30,84.91921,79.601295,76.788666,66.478745,177.08717
31,83.9019,76.825264,77.49939,63.065926,176.82596
32,83.1966,76.15255,77.773705,60.337765,177.37914
33,83.03674,78.15568,78.47043,60.79353,176.9326
34,83.60067,80.92621,78.79241,62.0757,176.19255
35,83.33596,82.68016,79.15221,63.025105,175.35793
36,83.24162,83.564514,79.107376,63.60711,175.09547
37,83.4337,83.618385,79.14168,63.16116,174.65778
38,83.46142,82.53845,79.76194,62.490498,174.96536
39,82.64444,80.48218,79.89258,61.097664,174.95744
40,81.65341,78.71138,78.893005,59.466785,175.7646
41,80.93267,77.2813,78.466774,58.32314,176.17316
42,80.18509,76.06277,78.2889,57.926327,176.62344
43,80.08437,75.62574,78.84212,58.27895,176.14394
44,79.897255,76.829346,79.18455,60.491936,175.5925
45,80.51461,79.24705,79.65493,64.12427,176.13756
46,81.348274,82.7078,80.0284,69.06179,177.1385
47,84.01568,87.35398,82.22734,75.05075,176.76366
48,90.23248,92.81455,87.452225,82.98453,177.73436
49,98.79772,97.85376,94.43581,91.81369,176.55592
50,107.47342,103.11282,102.603874,100.605415,176.8585
51,116.43554,108.14273,110.93785,108.77686,176.84488
52,125.97646,113.527054,120.454124,117.08495,175.21046
53,135.90623,119.202965,130.38707,125.219246,173.46562
54,143.67914,125.74058,140.27274,134.74045,172.75249
55,149.5665,132.11726,148.59875,143.26416,172.53342
56,154.32993,139.44803,156.66797,151.66917,173.96573
57,158.41606,146.41621,163.40894,159.73483,175.03087
58,162.00058,149.07018,169.49849,166.19861,175.51218
59,164.83322,149.2419,173.90015,169.07791,175.4395
60,166.78363,148.56659,176.72954,168.69637,175.87607
61,167.87704,146.64656,177.84459,166.81802,176.27374
62,168.97147,147.76462,177.5628,167.28499,175.8662
63,169.7376,148.8294,176.91573,166.91063,176.13223
64,169.53581,147.53029,177.6127,166.01166,176.0481
65,169.02315,145.0533,178.57521,163.84084,176.285
