Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,86.0875,119.15407,98.676765,95.37699,177.3127
1,89.15528,123.69797,101.03977,98.12955,177.62108
2,94.57554,129.39929,106.03806,102.27197,177.9675
3,101.585205,136.10532,112.260826,107.544785,178.54733
4,109.7992,142.38367,119.54434,113.77618,179.48262
5,119.71361,148.43053,128.14621,120.686264,178.95583
6,131.89713,153.4935,137.84966,127.52024,177.58653
7,144.2818,156.65172,146.45413,133.78557,176.44962
8,153.83672,157.9884,152.85663,139.19582,175.38667
9,159.90239,158.4221,157.5207,143.73444,174.8613
10,162.97382,158.63959,161.45471,147.28304,174.59119
11,164.27339,159.17401,164.78835,149.89911,174.38737
12,165.71732,159.49881,167.23125,152.03561,174.35371
13,167.24452,159.72368,168.70062,153.45651,174.35486
14,167.83157,160.15257,169.84525,154.52898,174.35713
15,168.55878,160.51254,170.53749,155.12868,174.41011
16,169.41173,160.7508,170.82549,155.39195,174.55136
17,169.54178,160.76665,170.91484,155.22226,174.64957
18,169.57254,160.68532,170.39752,154.5813,174.83084
19,168.92935,160.66269,169.577,153.62495,175.08636
20,168.61089,160.38156,168.19482,151.97615,175.35785
21,167.71005,160.21864,166.06181,149.88022,175.57237
22,166.06998,159.93773,163.00583,146.53506,175.94145
23,163.95341,159.3942,158.77452,142.22354,176.1857
24,158.4452,158.29672,153.61473,136.68599,176.61707
25,149.86572,155.40868,146.8914,129.48232,177.02954
26,139.10542,151.01813,139.34378,122.74968,177.96819
27,127.78316,145.55046,131.67088,116.66596,179.40456
28,116.51194,138.65414,124.36596,109.84959,178.94315
29,106.530464,131.12117,118.51715,103.08788,177.71362
30,98.21324,124.62821,113.69715,97.0652,177.0995
31,91.59193,118.5573,109.617714,91.51151,176.7339
32,86.9975,114.33812,106.89495,87.58737,176.50139
33,84.74703,112.08194,106.16982,85.812,176.40189
34,85.25639,112.87762,107.486244,86.39052,176.30746
35,88.1895,116.110535,110.70887,89.3886,176.48163
36,93.470024,121.89426,115.17715,94.42167,176.9161
37,101.01234,129.39418,120.822464,101.03798,177.63603
38,110.20608,136.50879,127.03069,107.95137,178.7091
39,119.60818,143.49261,132.69202,114.86599,179.63309
40,129.64668,149.99464,138.58849,122.41212,178.59348
41,140.43227,154.53404,144.31378,128.8776,177.32379
42,150.9803,157.37027,150.02643,134.87947,176.45757
43,159.39749,158.55785,155.20174,140.06958,175.9147
44,164.42499,158.88249,159.52054,144.33498,175.60603
45,167.60799,159.135,163.13788,147.99239,175.35188
46,170.04541,159.25407,165.88435,151.01653,175.06458
47,171.80847,159.36679,167.86559,153.38492,174.84262
48,172.57024,159.3856,169.14566,155.03923,174.70749
49,173.17564,159.54701,169.85756,156.16525,174.61937
50,173.64796,159.53331,170.13866,156.74818,174.60591
51,174.06876,159.51314,170.0398,156.84882,174.6253
52,173.29642,159.4762,169.40128,156.24661,174.72678
53,173.05988,159.13023,168.34586,154.96645,174.84398
54,172.22766,158.94078,166.60054,153.0749,175.10147
55,170.72968,158.51851,164.43474,150.28128,175.46977
56,168.35999,157.94312,161.39804,146.59032,175.84167
57,165.04411,157.17216,157.68878,142.0937,176.1148
58,160.21906,156.00314,153.60123,137.15523,176.57657
59,152.0287,154.17395,148.87279,131.6264,177.11201
60,140.5064,150.85701,143.22685,125.80678,177.98364
61,128.27138,146.38866,137.12816,120.06944,178.99011
62,117.402466,140.69756,131.0866,113.90312,178.57
63,107.75496,133.99438,125.10641,107.297775,177.72238
64,99.7983,126.87073,119.66648,100.60739,177.13461
65,93.14312,121.24562,114.77191,94.990746,176.69493
66,88.30652,117.6716,111.299355,91.12737,176.32484
67,86.650604,116.14964,110.20365,89.532616,176.04274
68,87.08084,116.70917,111.092125,90.34721,175.97513
69,89.950195,119.57151,114.02459,93.39408,176.12808
70,95.65943,124.84107,119.40857,98.722664,176.56783
71,101.94863,131.85504,124.88471,105.69497,177.26147
72,109.09453,138.46042,130.30481,112.971886,178.04785
73,116.84418,144.58179,135.60283,120.3779,179.01324
74,127.383156,149.57027,141.86177,127.11677,179.39058
75,138.87753,153.06305,147.86568,133.87386,178.77473
76,148.59972,154.85133,153.03618,139.53354,178.40503
77,155.07365,155.86507,157.32726,144.30907,178.24889
78,158.6417,156.50276,161.19098,148.15564,178.07248
79,161.95497,157.01254,164.4511,150.99078,177.81187
80,164.40567,157.4018,166.87431,153.46611,177.66829
81,166.60492,157.78905,168.53809,155.1747,177.53185
82,168.05984,158.39761,169.69463,156.31212,177.5441
83,169.49673,158.75546,170.39243,156.98616,177.53914
84,170.44016,159.26895,170.88753,157.37985,177.60004
85,170.85101,159.74529,171.14543,157.49731,177.65298
