frame,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,depth,symmetry
45,176.8096313687197,172.27649954965176,171.80822088843243,163.58979167947734,46.40625,4.533131819067933
46,178.05651408656527,173.23734778863806,170.83132242569408,164.4199559739208,45.0,4.819166297927211
47,178.35333003955404,169.53121674947414,168.8010148373076,160.81002194462008,38.25,8.822113290079898
48,179.55585556688774,157.764175654772,166.56712586310633,152.68391938876525,29.390625,21.79167991211574
49,166.67025497512498,143.6492899665608,177.20378772375986,136.87453960222123,19.546875,23.02096500856419
50,173.69160490223646,142.7547519793843,169.0789415383368,134.8442706436846,14.484375,30.936852922852154
51,169.3148401566489,145.57631505786077,173.9659362726846,137.8269916852866,18.421875,23.73852509878813
52,168.80089892994303,156.03297308284183,174.67757869307064,147.24974441841005,24.328125,12.767925847101196
53,177.1428769513889,164.42034294259315,168.1979418009984,156.11446382907445,31.640625,12.722534008795748
54,176.07762394776807,176.42085100099692,170.1282161859489,165.30362658649813,39.09375,0.34322705322884417
55,179.2157856991943,177.64888421002505,169.96687944566884,164.56437336664015,43.734375,1.566901489169254
56,178.18566346598104,177.3210743444206,173.96337600974798,163.11097166271173,46.96875,0.8645891215604422
57,176.8256017894401,173.62562561323432,174.495226488724,162.4866889890506,50.34375,3.19997617620578
58,174.2316567921632,176.09141081631563,176.9578700206604,164.5559440108113,55.125,1.859754024152437
59,178.23210222509377,174.2761069248078,174.2462116019588,165.52314896261282,60.46875,3.955995300285963
60,177.2905403664357,177.10011193896966,171.94564268376928,170.7919041780592,63.140625,0.19042842746603128
61,179.42730191572602,179.21702657806028,172.95626518609882,171.20160800309915,66.375,0.2102753376657347
62,178.10872028161268,177.79320349361046,172.79947819981993,170.8599259897678,67.78125,0.3155167880022134
63,177.0068842803229,178.31028444563893,173.04030917740135,169.77828652986733,69.328125,1.3034001653160203
64,179.10595161198273,178.17260128345612,174.42708594837225,171.09024025578083,68.625,0.9333503285266147
65,178.2045224229668,179.24434803602827,174.95738807857566,171.11991405418436,67.21875,1.0398256130614811
66,176.10642717966877,179.7427671273452,175.29972286895267,171.73913719354715,67.21875,3.6363399476764187
67,174.6007323188431,177.3889183122484,175.059076448839,172.225590250444,66.65625,2.788185993405307
68,178.18819987484625,179.50669308185346,174.0970756459646,173.47577772511386,67.078125,1.318493207007208
69,177.74059179110358,179.01626635906192,174.02459774450728,173.60438496458002,67.21875,1.2756745679583332
70,177.04130027534723,179.27193831873683,174.46770106998102,173.67612302930806,66.65625,2.230638043389604
71,177.85766414174324,179.76928566031305,174.07064335096746,173.41168740373766,67.078125,1.9116215185698024
72,178.15652392690626,179.89698666858715,173.71504224571876,173.52850950178947,66.65625,1.7404627416808864
73,178.1478279061199,179.39738246180676,172.62022784788007,174.13785890383969,67.078125,1.2495545556868706
74,177.72864683617587,178.53255273865216,173.06021474772427,173.4498213304723,66.234375,0.8039059024762878
75,179.71053449381213,178.39912909749103,171.05685384107136,173.16067758221598,65.109375,1.3114053963211063
76,177.87788047355386,173.43268242297424,170.20764455066669,171.0274098267809,59.765625,4.44519805057962
77,174.5087811992346,174.42514292737476,173.89271934396103,168.2546569679491,56.109375,0.08363827185982586
78,176.12484831829792,176.19670167388927,174.30443601915067,166.54391791880573,51.75,0.07185335559134387
79,177.56472917856615,171.33647001987168,171.9164604803935,163.21807694265325,47.109375,6.22825915869447
80,177.8327641096713,173.5258815548233,170.72900109516652,163.72718204004124,44.296875,4.306882554848016
81,175.6210138958626,168.81028817323823,171.88482709437815,159.01070404247756,39.375,6.810725722624369
82,177.2145103816707,163.2216985649663,169.3149901904168,155.864284270287,33.890625,13.992811816704403
83,173.9715117572866,157.1996048329079,161.83296943625717,149.13874114163434,20.953125,16.771906924378698
84,177.68750556273656,155.18872424505602,163.37552185603505,145.66807900185466,19.125,22.49878131768054
85,178.3181898985069,160.31425036231258,165.3991790457882,148.60954424277222,20.8125,18.00393953619431
86,174.29167352778205,166.9995558978343,170.7481898210559,154.9382464407898,26.71875,7.2921176299477395
87,179.8466664333718,160.89420000647996,168.73023749802374,150.8772926931977,26.4375,18.952466426891846
88,176.96813355394715,168.2683520118558,168.88931062510065,160.68909520269685,40.5,8.699781542091358
89,179.1915841726386,173.96871845192152,168.52023926331472,165.54538995819192,43.59375,5.222865720717095
90,179.71603247621368,174.37717066421953,168.49123840132017,167.1545136045765,46.40625,5.33886181199415
91,177.80268665259823,174.00068821299217,169.06758113722196,168.90665645330773,50.90625,3.801998439606052
92,179.52480008047453,175.51482978780922,167.08967718712677,171.03867193322895,53.15625,4.009970292665315
93,177.8391609597848,176.12034875210486,170.21570305199202,170.04420780159538,58.640625,1.718812207679946
94,178.8524388851941,176.39765241146785,172.7301246805436,169.70462103448966,63.0,2.4547864737262444
95,178.94538117561592,176.7959100844861,170.64046610218156,171.95405224467302,65.671875,2.1494710911298114
96,178.70936171821026,179.29630313332814,169.63251090898936,174.2200173198098,67.5,0.5869414151178773
97,179.26535133858948,179.51902908178448,169.99953031357393,174.08287506407186,67.078125,0.2536777431949986
98,179.27194750654536,179.75747235713368,170.21167121930029,174.64794724373084,67.640625,0.4855248505883196
99,179.56289142218705,179.6306692125709,170.20374766743245,175.18626590024218,67.640625,0.06777779038384324
100,177.72554575894048,178.49857064775878,172.7435759430907,173.6182549528117,68.625,0.7730248888182985
101,177.13522748476638,177.89590298127953,173.95484752016145,172.4412445372921,67.640625,0.7606754965131586
102,176.67483851222823,177.97515904251787,173.89695186266647,172.5430711480616,67.21875,1.300320530289639
103,176.6188149352852,178.3436158034299,174.75201100993155,172.03869183427074,67.5,1.7248008681447118
104,178.0027002834506,179.6375152984871,172.4700163350969,174.3021358045765,66.796875,1.6348150150365086
105,177.2563953566772,179.51970452105093,172.865288082269,173.96236909638577,66.9375,2.2633091643737373
