Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,164.28662,166.2194,164.2701,162.70866,175.75652
1,164.20108,166.35147,164.77658,162.36913,175.42067
2,164.59167,166.32391,164.42804,162.5912,175.60928
3,164.71347,166.55167,164.32173,162.97894,175.42554
4,164.10793,166.35574,164.03424,163.39139,175.2439
5,163.88751,166.0837,163.49384,163.25916,175.23737
6,163.77007,166.03668,163.20912,163.83157,175.14706
7,163.82411,165.81935,162.93454,163.5892,175.15773
8,163.65654,165.6052,162.54897,163.6764,175.10771
9,163.61113,165.50227,162.47116,163.66173,174.96204
10,163.42383,165.49693,162.53966,163.6219,174.62491
11,163.09706,165.83008,162.41621,163.85565,174.29884
12,162.88881,166.63782,162.57906,163.68993,174.00157
13,161.91267,166.3204,161.7925,163.63126,173.54208
14,160.70204,167.33496,161.76537,163.60985,173.14299
15,160.91682,167.60034,161.4245,163.30794,172.7504
16,160.99547,167.75783,161.20488,162.63464,172.18285
17,160.96962,167.16827,160.45035,161.33568,171.4096
18,160.19649,165.94916,159.28752,160.03484,170.63823
19,159.48419,164.34346,157.55464,157.73366,170.0449
20,158.52177,162.87492,154.6899,155.04463,169.53815
21,157.15941,159.93784,150.1618,153.06654,169.94434
22,153.26517,152.35213,143.59854,150.71777,171.52242
23,144.92482,139.82872,134.89456,145.9547,174.91254
24,133.85046,127.57156,125.53917,139.09412,177.86385
25,122.089035,117.65793,116.40407,132.05344,177.57013
26,109.26265,108.18851,106.89848,123.35001,177.56314
27,97.80857,100.21272,98.254814,114.86748,179.34508
28,88.92784,94.48136,92.0756,108.4905,178.43614
29,82.65169,90.81002,88.21818,104.72365,176.85739
30,78.935936,88.8037,85.32127,102.50333,176.31538
31,79.32095,89.01205,85.958885,102.82619,176.17387
32,82.92458,91.194496,88.20197,104.88157,176.54678
33,88.31674,95.09199,91.24034,107.861595,177.06168
34,94.80904,100.389,95.30291,112.38126,177.34428
35,104.1395,107.28639,101.92652,117.94841,177.34952
36,113.57019,115.35581,109.70552,124.60889,177.65231
37,123.61595,123.581314,117.901764,130.92302,177.27551
38,133.16881,132.63124,125.49792,136.6519,176.43262
39,142.24397,141.98161,132.55826,141.34273,175.22923
40,149.02548,149.94229,138.93883,144.73381,174.38339
41,153.38086,156.38852,144.94713,147.57378,173.36163
42,155.92896,161.44443,149.11125,150.31528,172.75055
43,157.40523,164.54155,152.17966,152.87422,171.7869
44,157.84047,165.54373,154.44069,154.99503,171.18123
45,158.7017,164.6074,156.12761,156.99765,170.50015
46,159.23883,162.83371,157.81572,158.7139,169.85793
47,157.4081,162.23521,160.17865,159.7241,169.80048
48,157.87149,160.8259,161.33868,160.68826,169.61469
49,157.96872,159.56139,162.04991,161.2718,169.51381
50,156.99425,158.428,162.73358,161.591,169.81151
51,156.33687,157.42993,163.20232,161.84644,170.22672
52,156.7776,156.81892,163.09818,161.94348,170.4252
53,156.80293,156.51903,162.8658,161.92975,170.62682
54,156.76505,156.03064,162.68999,161.88866,170.90367
55,156.71576,155.96555,162.52213,161.7554,171.06558
56,157.1577,156.28198,162.48402,161.78218,171.26686
57,157.7069,156.48897,162.36269,161.7525,171.1929
58,158.0412,156.73639,162.35643,161.77814,171.4558
59,158.16234,157.28731,162.49385,161.77954,171.41872
60,158.621,157.80351,162.3591,162.1095,171.35332
61,158.28717,158.6357,162.54349,162.23021,171.34517
62,158.37502,158.7238,162.38763,162.58353,171.35153
63,157.70872,159.14716,162.46623,162.77058,171.32466
64,157.62044,160.07457,162.43324,162.94934,171.2924
65,157.24205,160.70348,161.99245,163.0867,171.1975
66,157.01224,161.99852,161.63968,162.85243,171.03632
67,157.37546,163.40005,160.73033,162.51959,170.80167
68,157.99487,164.99413,159.44063,161.84712,170.77425
69,158.5659,165.98865,157.5214,160.87714,170.767
70,158.64111,164.96576,154.06691,159.74472,171.36507
71,155.878,160.22234,149.00847,157.19522,172.29077
72,149.05144,149.07727,141.88193,151.96754,173.87157
73,138.7513,134.7164,134.06221,144.8429,175.939
74,124.1277,121.261314,125.066605,136.2263,177.33649
75,107.650536,109.30659,113.914764,125.92975,177.35603
76,92.99814,100.230034,103.39017,116.36009,177.00082
77,82.59741,93.833496,95.40331,109.00435,176.23541
78,76.06978,89.76861,90.26949,103.80298,175.37212
79,72.41742,87.533775,87.64037,100.93388,174.71133
80,72.09347,87.43143,87.6814,99.98258,174.5205
81,75.84231,89.67613,90.82564,100.96746,174.92729
82,82.536316,93.637596,95.778465,103.84101,175.90523
83,93.13994,99.38013,103.09298,108.000565,176.66106
84,104.754814,106.13329,111.34993,113.46969,176.92628
85,117.35476,113.63873,119.95026,120.319214,177.29411
86,129.42897,122.58978,128.02164,128.30621,177.39151
87,139.46931,133.00024,135.47499,136.46841,176.90097
88,147.3543,143.45901,142.11357,143.7696,175.6952
89,153.71654,153.91669,147.79039,150.71521,174.24997
90,157.5244,162.30106,152.80603,155.95071,173.22026
91,159.29868,165.97107,156.63219,158.95819,172.47636
92,159.01424,166.61703,160.04536,160.97343,172.10735
93,156.6049,165.41402,163.1004,162.25128,172.22289
94,153.85893,163.61977,165.49724,162.96365,172.60622
95,154.58923,162.25461,165.81197,163.32797,172.59554
96,154.46133,160.91675,166.17328,163.38116,172.62177
97,153.5955,160.42252,166.31952,163.18266,172.60202
98,154.02483,159.82156,166.20235,163.04802,172.67712
99,154.23993,158.87569,165.901,162.75111,172.56435
100,153.72333,158.15799,165.88548,162.53453,172.71924
101,153.75269,157.48083,165.57718,162.37064,172.7531
102,154.87932,157.2923,165.1842,162.18509,172.60222
103,155.178,157.2538,164.8703,162.09969,172.55655
104,155.35475,157.44792,165.04845,162.11334,172.51224
105,155.12645,156.98949,165.1921,161.9843,172.56477
106,154.76836,157.4554,165.70842,161.99762,172.52977
107,154.27383,157.54935,165.92323,161.95532,172.49799
108,154.34915,157.9211,165.86954,162.1148,172.39261
109,154.74248,158.09888,165.45848,161.94102,172.16673
110,155.62512,158.65657,164.86052,162.07182,171.99371
111,155.70871,159.10727,164.79997,161.92093,171.95778
112,156.79192,159.94876,164.21986,161.90935,171.98676
113,156.91718,160.97249,163.9801,161.3682,171.8935
114,157.85045,162.38536,163.4245,160.99469,171.53403
115,157.8858,163.83322,162.78003,160.23196,171.18202
116,158.60417,165.46864,161.45891,159.60497,170.52583
117,158.71548,165.84169,159.16336,158.24362,170.12979
118,157.13425,164.83809,156.35728,156.932,169.97156
119,154.38815,162.01157,151.78847,154.86029,170.63747
120,150.80292,154.95651,146.06044,150.60219,171.6031
121,145.56862,142.95683,139.73952,144.24936,174.18762
122,137.42143,129.93304,132.9675,136.30768,176.45293
123,126.10403,118.18733,124.93387,127.553215,178.07329
124,113.36109,109.23448,115.642815,119.12682,178.25694
125,102.21596,103.57634,107.05652,112.76074,177.69878
126,93.80718,99.50712,99.41938,107.68238,176.60689
127,87.84967,96.57224,93.66457,104.29724,176.05315
128,84.69103,95.53883,90.403915,102.806496,175.47585
129,83.09852,95.35757,88.111626,101.94654,175.50084
130,83.75536,95.852,88.13467,102.37063,175.51485
131,86.12637,97.434814,89.91081,103.57889,175.76945
132,89.51798,100.46371,92.36225,105.87773,176.1247
133,95.10722,104.44452,97.31258,109.62804,176.62529
134,102.08934,109.60204,103.33347,113.91923,176.87994
135,108.84783,115.45713,109.15164,118.49023,177.08557
136,116.22419,121.598274,114.81209,123.15949,177.17249
137,123.85183,128.36353,120.48587,128.03987,176.96559
138,131.44164,134.77022,125.6546,132.46489,176.65508
139,137.21642,141.1839,130.45558,136.83467,176.19234
140,142.54991,147.94875,134.97069,139.99144,175.90088
141,146.17154,153.1911,139.22182,142.23491,175.65053
142,149.59573,158.37842,143.3327,144.77696,175.27715
143,151.89871,162.86058,146.49474,146.74417,174.7592
144,153.91283,165.88264,149.46857,148.3131,174.63684
145,153.44873,167.34058,152.19713,149.94072,174.5805
146,147.4894,167.78592,156.23312,152.43079,174.28598
147,143.37395,167.7877,159.61086,154.12001,174.20447
148,140.73427,168.0917,162.34265,156.19748,174.34933
149,141.4735,167.56241,164.13521,157.40244,174.51595
150,142.03864,167.29193,165.42094,158.1397,174.75891
151,143.3361,166.86494,166.13177,158.69113,175.15746
152,146.98601,166.72333,165.70816,158.64212,175.27382
153,152.10817,166.75023,163.29579,157.79684,175.18964
154,154.89394,166.83394,161.72612,156.97206,175.17625
155,156.71722,166.79799,161.03247,156.50548,175.06926
156,157.73033,166.6257,160.57208,156.2882,175.07654
157,159.38579,166.42348,160.53116,156.34744,175.24077
