Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,145.66805,166.33208,151.16676,169.29791,177.24466
1,144.35081,164.68497,151.40166,168.5416,177.69888
2,142.18478,162.19978,151.9751,167.113,178.19214
3,139.84256,156.53845,152.64905,165.8569,178.65186
4,136.65979,150.7132,152.19789,162.82788,179.07846
5,133.6348,144.61021,150.55986,159.66315,179.27287
6,128.6299,136.28523,147.71791,154.56888,178.97092
7,122.93261,127.45553,141.16594,148.20898,178.15495
8,117.71302,120.35481,134.84761,143.01335,177.20978
9,112.4493,111.291565,128.21677,136.277,176.19579
10,108.62231,103.04403,122.63353,129.43369,175.82748
11,105.901245,94.95047,117.71254,122.93894,175.80138
12,102.848785,87.68936,112.737976,117.00284,175.75328
13,100.91266,81.55446,108.857414,111.32416,175.83266
14,99.308685,77.06013,106.187805,107.04214,175.81891
15,97.318665,74.03404,103.88553,103.0942,175.74669
16,96.46901,71.512764,102.796715,99.838326,175.74016
17,96.24956,69.75636,101.92853,97.406364,175.76779
18,95.782036,68.66075,101.258965,95.250885,175.63211
19,96.145676,68.72093,101.99221,95.17613,175.6357
20,96.65481,69.19113,102.50069,95.74718,175.53235
21,97.24974,70.21499,103.02503,96.753784,175.40678
22,98.716835,71.75019,104.688644,98.72673,175.51335
23,100.280396,74.575874,107.54113,101.75775,175.36777
24,103.139244,79.098366,111.81588,107.97718,175.557
25,105.849525,85.29485,116.94354,114.995125,175.8154
26,109.6657,92.65698,122.97034,122.958275,176.14384
27,116.54472,101.636154,131.2475,132.40521,177.22935
28,124.1089,110.875244,141.9278,140.80809,178.29176
29,128.30295,120.867294,150.13547,147.03725,178.94537
30,130.01953,128.74289,156.11765,151.87492,179.27827
31,130.02838,136.8167,158.89636,155.47997,179.40652
32,129.57599,142.91527,160.27081,158.3405,179.35745
33,129.0706,148.53447,158.66882,161.07143,178.99516
34,130.27536,154.6993,158.65575,162.98499,178.50131
35,131.4761,158.66638,158.18822,165.1532,178.36673
36,132.10393,161.47682,157.91283,166.21773,178.49623
37,133.03403,160.11078,157.57529,166.91273,178.46048
38,132.5698,159.09967,156.04619,167.30272,178.16954
39,133.1636,157.32373,156.22171,167.28789,178.32953
40,132.15862,156.41512,155.64088,167.56696,177.90117
41,132.57191,154.39156,156.64107,166.79219,178.29945
42,131.69705,154.2865,155.16635,167.0804,178.13953
43,130.65382,154.87096,155.25034,166.61986,178.30649
44,130.71323,151.98001,158.2351,165.60667,178.15189
45,130.46764,148.33908,159.00972,163.93855,178.29028
46,128.91505,143.86832,157.48729,161.75284,178.18803
47,130.32744,137.36797,158.89792,158.66763,177.9066
48,129.88887,130.25974,156.26309,153.98323,178.209
49,129.2583,122.68166,150.66971,148.81,178.94798
50,128.92682,115.1565,144.4258,143.85959,179.022
51,125.13926,106.469315,136.23853,136.35944,178.68404
52,118.971695,97.893845,127.18702,128.38724,177.74258
53,113.647804,89.96581,119.33233,120.386284,176.84227
54,108.8987,83.27126,113.654274,113.76218,176.33008
55,106.05105,78.37343,109.423096,107.96571,176.00502
56,102.94432,74.33578,105.104355,103.10094,175.73363
57,101.05982,71.205894,101.668816,99.05431,175.48837
58,100.31311,69.106186,100.427284,96.11873,175.2395
59,100.680275,67.56366,100.735214,93.59486,175.1152
60,100.46794,66.44385,100.60532,91.52292,174.95576
61,100.80407,65.789604,100.540405,91.41087,174.88614
62,100.766075,65.57568,100.52514,91.01668,174.94771
63,100.42483,65.8746,99.743706,91.81814,175.18341
64,99.94295,66.721924,99.07769,93.6254,175.24704
65,100.5986,68.463295,100.0561,96.52293,175.21806
66,101.97454,71.5931,103.409935,100.43477,175.30505
67,104.633385,76.50689,108.48312,105.59487,175.53418
68,107.96636,83.32806,114.608246,112.818085,175.73947
69,112.55951,92.049255,121.180855,120.270515,176.17351
70,116.96053,101.739876,128.12137,127.9829,176.89618
71,120.783966,111.26784,136.90848,136.99194,177.70586
72,123.09265,119.8832,146.16214,145.23859,178.00188
73,123.61203,124.38718,152.5422,152.0871,177.99748
74,121.920006,124.375145,154.12332,156.89642,178.03557
75,119.09907,122.62839,152.33916,160.20222,178.0972
76,118.673615,121.16651,149.61545,162.24133,177.94785
