Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,104.37806,104.70552,137.8893,142.34276,176.08199
1,97.74195,99.58489,135.27502,139.4653,174.79774
2,90.01147,92.993,132.54012,136.42291,173.7745
3,81.268135,84.591095,128.96902,132.68932,173.56299
4,72.46004,75.239204,124.13152,128.15456,174.06277
5,63.952698,66.562454,119.05984,124.108696,174.59772
6,57.180206,60.258766,112.76438,118.996056,173.71254
7,52.032436,56.01241,109.38701,115.65131,172.73428
8,48.752975,53.497643,106.92979,112.894,171.23561
9,47.178856,52.237934,105.25026,110.64703,169.89014
10,47.314747,52.099285,105.156235,110.21703,169.46385
11,49.77102,53.361275,107.69319,112.482285,170.5188
12,54.363148,55.841587,110.8736,115.809364,172.44084
13,61.714077,60.170998,115.30864,120.45997,173.56502
14,73.4659,67.0212,120.2541,125.278366,172.53506
15,90.7601,77.82812,125.82343,130.76253,172.40947
16,111.18558,91.61678,131.45284,136.88908,173.79271
17,127.698425,108.39357,136.62967,142.43123,176.79503
18,140.74542,124.487366,140.8935,146.62947,178.14513
19,150.63516,137.9234,143.84192,149.23518,178.38759
20,158.11246,148.11705,145.22295,150.72908,178.41885
21,163.52882,153.71321,145.16634,150.80083,178.42244
22,166.89088,155.77419,143.74677,149.9082,177.94719
23,168.39217,155.63345,141.51436,148.45529,175.87773
24,168.46242,154.19826,139.28947,146.8219,173.01663
25,168.56563,152.7148,138.32681,146.06369,170.51588
26,168.72693,151.77269,137.99951,145.7265,168.89543
27,169.11565,151.89392,138.88934,146.53575,167.73958
28,169.47586,152.0803,139.93044,147.42628,167.87932
29,169.04378,152.23038,139.9596,147.80055,167.91003
30,169.3215,152.26978,140.8023,148.51245,168.00752
31,169.75333,152.83331,141.58821,149.08435,168.08536
32,169.50853,152.6036,141.6691,149.24915,168.46466
33,169.89478,152.92145,142.0794,149.58493,168.40466
34,169.88867,152.95981,141.90459,149.69922,168.48114
