Frame,Right_Knee,Left_Knee,Right_Hip,Left_Hip,Spine_Lean
0,135.03584,142.1316,110.8313,100.32635,172.33652
1,134.67061,142.75848,110.65899,100.39624,172.5593
2,135.19264,143.62805,111.13122,100.644516,172.46175
3,135.38263,144.04875,111.613686,101.02517,172.38123
4,133.60153,141.79082,113.2612,102.525665,171.50732
5,133.86757,141.92125,113.80715,103.08742,171.31067
6,134.32411,142.21127,114.73235,103.835625,170.90619
7,134.83397,142.90855,116.12972,105.07828,170.25623
8,136.50398,144.97339,117.14535,106.00322,169.54062
9,139.44318,146.25827,118.999535,106.93956,168.56668
10,142.17412,146.86198,121.24274,107.90942,167.685
11,145.99329,147.77043,124.217545,109.00674,167.11604
12,147.57664,147.71103,125.86471,110.494835,166.55838
13,145.21864,145.491,125.73247,111.66188,166.56015
14,139.87648,141.11633,122.53744,110.528534,167.79784
15,131.11687,134.08638,117.8005,108.59561,169.92358
16,119.35815,123.24789,111.01064,103.819374,171.9456
17,105.525986,109.983536,102.144806,96.829185,173.24104
18,91.739525,97.95982,91.393166,87.78715,175.59117
19,79.91508,87.79946,81.18295,77.7366,177.18047
20,70.68329,80.02814,71.83877,67.04693,177.4709
21,62.716923,72.67461,64.23003,58.55945,176.13364
22,57.899162,67.72305,59.941196,53.909847,174.84477
23,56.023556,66.01981,58.285374,52.71303,174.18565
24,56.98614,66.99376,60.04303,54.93188,174.19643
25,59.90607,69.6517,63.41486,58.92426,174.82097
26,64.053635,73.404564,68.526695,64.75276,175.95242
27,69.86943,78.05355,74.257164,70.28237,177.41267
28,76.74876,83.81928,81.0704,76.25892,179.07042
29,85.077095,90.74839,87.87,81.9768,179.16913
30,94.5632,98.732765,95.13551,88.446495,177.28314
31,105.64769,108.47265,101.354965,94.21816,174.94588
32,117.020134,117.82428,108.02292,100.19768,172.13953
33,126.403,125.552025,112.588776,104.29781,170.97023
34,133.60619,132.37477,117.749176,109.103836,169.78548
35,138.36133,137.16396,123.08791,114.31086,169.07373
36,141.76106,140.3269,123.252846,114.80023,169.06728
37,144.4073,143.9536,127.45701,120.17605,168.41176
38,144.35474,144.06943,126.353195,119.03814,168.1604
39,144.89047,144.7723,127.00419,119.48984,167.44612
40,145.23985,144.77312,127.57787,119.642685,167.3367
41,142.91216,142.18248,126.6815,118.14553,167.08536
42,136.57892,136.06013,123.21225,114.62167,166.82378
43,129.18584,128.39621,119.427734,111.208534,167.73692
44,118.64517,118.32758,113.42005,106.68188,169.67093
45,105.92129,107.1426,106.66501,101.49613,171.38795
46,94.023895,97.34167,98.70911,95.09415,173.71402
47,83.57817,89.00328,90.77448,87.89913,176.14374
48,75.27605,81.46171,82.42804,79.96569,178.2538
49,68.49173,74.866806,75.598274,73.267494,177.54823
50,63.08779,69.870705,69.42257,67.607834,175.8366
51,59.315456,66.15283,65.73949,64.79849,174.63454
52,57.463047,64.01215,64.317986,64.39877,174.08665
53,58.356934,64.85029,66.687546,67.870224,174.14261
54,61.36389,68.04587,70.55682,73.54117,175.61992
55,66.461586,73.31966,76.25453,80.059906,176.96054
56,73.73134,80.31733,83.04282,85.99255,178.82048
57,82.81934,88.4834,90.899254,92.228455,177.85414
58,92.54268,97.5101,99.414925,99.49302,175.37073
59,103.356094,107.1334,106.97564,106.097336,172.55579
60,114.29002,116.69573,113.69211,111.918045,169.5124
61,122.57413,124.78325,118.87321,117.03251,168.14365
62,128.36096,131.70338,123.931465,122.966446,166.5718
63,130.32068,135.34622,126.2083,126.13069,165.72865
64,130.19986,136.85617,125.94663,126.931625,165.50198
65,130.21379,138.25714,127.494545,129.40884,164.79588
66,130.6719,139.13947,127.72322,129.7706,164.35635
67,130.33829,138.27823,127.6949,129.23218,163.34506
68,129.61723,136.76437,126.533875,127.4248,163.19649
69,128.69449,134.48027,125.183044,125.28886,161.66156
70,124.7755,129.6144,122.131615,122.150795,161.2352
71,118.02207,123.15434,118.05446,118.86042,161.38788
72,107.99505,114.75287,112.193436,114.64644,163.36093
73,97.0378,104.96772,104.93103,108.954666,165.26254
74,86.64554,95.218,96.853134,101.937355,168.06796
75,76.67792,85.165695,87.882675,94.02897,171.61217
76,68.20583,75.867905,78.19709,84.82404,175.68729
77,61.61837,68.55507,70.79907,77.29894,178.44441
78,57.360897,63.71043,65.7905,72.44174,178.73994
79,55.699345,61.577587,63.971485,70.8608,178.06224
80,56.267895,61.901188,65.48557,73.50233,178.26538
81,59.052097,64.98213,69.46664,78.54581,179.02402
82,63.649197,70.353096,74.85555,84.78784,178.73979
83,70.1901,77.18818,81.00966,89.829735,176.3289
84,78.85229,85.03854,88.45581,94.49225,174.11476
85,87.830475,93.43612,96.07348,99.97088,171.8505
86,97.68133,102.74644,103.278175,105.872025,169.26904
87,108.551895,112.62629,109.489716,110.90165,167.48914
88,117.104355,120.68056,114.48915,115.25655,166.7672
89,123.27864,127.17549,118.23406,118.9752,166.09563
90,127.21672,131.54556,121.71193,122.594444,165.6417
91,129.54887,134.48245,123.93532,125.23088,165.5585
92,129.59995,135.81926,125.11992,126.95093,165.45439
93,128.82468,136.48616,124.82811,127.092804,165.67073
94,128.9343,137.02475,126.410515,128.6948,164.64679
95,128.94727,136.19917,127.181885,128.89757,163.625
96,128.48326,133.993,126.14944,126.57681,163.00743
97,126.98915,130.6419,125.38955,125.19288,163.2026
98,122.503235,124.95552,121.551216,121.1222,162.3059
99,116.02875,118.78594,118.31246,118.92413,162.95222
100,106.8352,111.523735,113.002266,115.30591,163.86966
101,96.05992,102.70638,106.58615,110.94456,164.81749
102,85.44649,93.4667,98.4432,104.149506,166.98541
103,76.24283,84.28569,89.751564,96.42871,169.59528
104,68.62699,75.5068,80.26314,87.53452,173.27937
105,62.585476,67.91151,71.573814,78.33934,176.82016
106,59.518066,63.467438,66.57672,72.75675,177.95761
107,57.109,60.133938,64.23992,70.00772,177.57246
108,56.67907,58.835266,64.06753,70.18993,177.19551
109,58.129414,60.464245,67.48456,74.07115,177.42244
110,60.576057,63.281174,71.44616,79.16909,177.7984
111,64.2413,67.64967,76.295654,84.79747,178.23897
112,69.81022,73.4376,83.25616,90.73171,176.77473
113,76.66415,80.369865,90.817085,96.46736,174.93626
114,84.18525,87.98038,98.3814,102.19837,172.56042
115,93.40386,96.68883,105.96307,108.821754,170.19415
116,103.5884,105.610596,113.25699,115.25078,167.6863
117,111.9954,113.48038,119.40024,121.09324,166.0375
118,117.890564,120.30252,123.3323,125.69485,165.52881
119,121.502914,125.33415,127.347206,130.94595,165.51076
120,122.83662,128.2131,128.60039,133.21964,165.92303
121,123.77731,130.78357,129.29773,135.02507,166.31596
122,124.71225,132.39848,130.0187,135.67564,166.49524
123,125.23433,132.81334,130.011,135.28128,166.16426
124,127.310974,133.0763,128.79874,132.3692,165.89508
125,127.80076,131.50763,129.29005,131.92558,166.65036
126,124.78057,127.39971,125.16813,127.48475,166.63638
127,118.75207,121.69306,120.02554,123.29843,167.08562
128,110.84768,115.09162,115.08666,120.12581,167.85768
129,100.39352,106.48763,109.060295,116.0578,167.78485
130,90.813095,97.54457,101.23106,109.40466,169.2987
131,82.2831,88.88463,93.03717,101.94074,171.50539
132,74.91192,80.44935,83.7079,92.8513,174.0787
133,68.36002,73.045746,74.542946,82.76707,177.58208
134,63.14279,67.10108,67.468834,75.17668,178.66309
135,59.734837,62.910053,63.78848,71.32503,177.09863
136,58.61757,61.151165,63.518295,70.82614,176.70093
137,59.075047,60.74656,66.009514,73.60652,176.52277
138,61.059402,62.13121,69.73677,77.28995,176.95116
139,63.990917,65.02204,76.482346,83.62626,176.75116
140,69.01849,70.21958,84.24237,90.53134,178.28673
141,76.417175,77.08359,94.90069,100.14408,177.59377
142,84.54119,85.21713,104.10616,108.60049,175.55885
143,94.64594,95.04254,112.8094,116.54149,173.30882
144,105.26093,104.65753,121.054375,123.9653,171.89641
145,113.566475,111.88252,126.79025,129.10081,171.64409
146,121.06965,118.04419,131.08603,132.3916,171.853
147,126.33338,122.04989,133.50244,133.56293,172.35422
148,124.76903,121.70782,132.80634,132.76741,172.80275
149,120.94732,120.783585,129.48456,131.28006,173.74718
150,121.41416,121.38133,128.65526,130.85341,174.66023
151,124.33782,122.709984,129.1988,131.25003,174.9703
152,126.08709,122.83615,128.98161,130.63878,175.50647
153,125.10155,121.67509,126.43417,129.21042,175.56487
154,124.05362,120.69684,124.12979,128.28648,175.55388
155,122.43859,119.618706,121.91256,127.681145,175.44086
156,120.73575,118.14332,118.8238,125.94133,174.65671
157,119.325874,116.438515,116.03416,123.90981,174.21632
158,118.51962,115.45247,115.023094,123.375725,173.64902
159,118.19329,114.53722,114.071175,121.512634,173.12009
160,117.50612,113.9727,113.18732,120.114365,172.69693
161,117.21698,113.76705,112.83491,119.67194,172.24706
162,116.97391,113.59267,112.68027,120.20746,172.01097
163,116.685745,113.09771,112.41001,121.4994,171.45183
164,116.88945,113.68296,112.29158,123.18087,170.62541
165,118.00427,115.64925,112.301216,124.861015,169.86511
166,119.36103,117.41785,113.50049,127.43391,169.86427
167,120.85572,119.229004,113.65206,129.19504,169.77658
168,123.2521,121.28779,113.689766,130.36531,168.09781
169,124.969345,121.87209,114.2562,132.15422,168.40382
